station,type,macro_from_node_id,macro_to_node_id,micro_from_node_id,micro_to_node_id,set_of_allowed_links,min_link_travel_time,max_link_travel_time,headway
W5,stop,9,10,1805,1753,12;10;9;8;6;5;3;4;2;0;13,20;4;4;4;5;240;240;4;5;4;4;4;20;3000;20;4;4;4;5;4;240;240;4;4;4;20;5;3000,21;5;5;5;6;300;300;5;6;5;5;5;21;3000;21;5;5;5;6;5;300;300;5;5;5;21;6;3000,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W5,stop,10,9,1754,1806,14;16;17;18;20;21;23;24;26;25;27,20;4;4;4;5;240;240;4;5;4;4;4;20;3000;20;4;4;4;5;4;240;240;4;4;4;20;5;3000,21;5;5;5;6;300;300;5;6;5;5;5;21;3000;21;5;5;5;6;5;300;300;5;5;5;21;6;3000,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W5,over,28,10,1805,1753,12;11;7;1;0;13,20;4;4;4;5;240;240;4;5;4;4;4;20;3000;20;4;4;4;5;4;240;240;4;4;4;20;5;3000,21;5;5;5;6;300;300;5;6;5;5;5;21;3000;21;5;5;5;6;5;300;300;5;5;5;21;6;3000,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W5,over,10,28,1754,1806,14;15;19;22;25;27,20;4;4;4;5;240;240;4;5;4;4;4;20;3000;20;4;4;4;5;4;240;240;4;4;4;20;5;3000,21;5;5;5;6;300;300;5;6;5;5;5;21;3000;21;5;5;5;6;5;300;300;5;5;5;21;6;3000,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W4,stop,12,13,1741,1695,26;25;24;22;21;20;19;18;17;16;14;13;12;11;10;9;8;7;6;5;3;2;1;0;27,8;4;4;4;4;5;8;4;4;4;5;390;420;420;420;4;5;4;8;4;4;5;4;4;4;4;4;3000;8;8;4;5;4;420;4;5;8;8;3000;4;4;4;5;8;4;4;4;5;390;390;420;420;4;5;4;8;4;4;5;4;4;4,9;5;5;5;5;6;9;5;5;5;6;450;480;480;480;5;6;5;9;5;5;6;5;5;5;5;5;3000;9;9;5;6;5;480;5;6;9;9;3000;5;5;5;6;9;5;5;5;6;450;450;480;480;5;6;5;9;5;5;6;5;5;5,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W4,stop,13,12,1696,1742,1;25;28;29;31;33;35;36;37;39;40;42;43;44;45;46;47;48;49;50;51;53;54;55;56;57;58;59;61;38,8;4;4;4;4;5;8;4;4;4;5;390;420;420;420;4;5;4;8;4;4;5;4;4;4;4;4;3000;8;8;4;5;4;420;4;5;8;8;3000;4;4;4;5;8;4;4;4;5;390;390;420;420;4;5;4;8;4;4;5;4;4;4,9;5;5;5;5;6;9;5;5;5;6;450;480;480;480;5;6;5;9;5;5;6;5;5;5;5;5;3000;9;9;5;6;5;480;5;6;9;9;3000;5;5;5;6;9;5;5;5;6;450;450;480;480;5;6;5;9;5;5;6;5;5;5,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W4,over,30,13,1741,1695,26;24;19;23;15;4;3;2;0;27,8;4;4;4;4;5;8;4;4;4;5;390;420;420;420;4;5;4;8;4;4;5;4;4;4;4;4;3000;8;8;4;5;4;420;4;5;8;8;3000;4;4;4;5;8;4;4;4;5;390;390;420;420;4;5;4;8;4;4;5;4;4;4,9;5;5;5;5;6;9;5;5;5;6;450;480;480;480;5;6;5;9;5;5;6;5;5;5;5;5;3000;9;9;5;6;5;480;5;6;9;9;3000;5;5;5;6;9;5;5;5;6;450;450;480;480;5;6;5;9;5;5;6;5;5;5,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W4,over,13,30,1696,1742,28;29;30;32;34;36;37;38,8;4;4;4;4;5;8;4;4;4;5;390;420;420;420;4;5;4;8;4;4;5;4;4;4;4;4;3000;8;8;4;5;4;420;4;5;8;8;3000;4;4;4;5;8;4;4;4;5;390;390;420;420;4;5;4;8;4;4;5;4;4;4,9;5;5;5;5;6;9;5;5;5;6;450;480;480;480;5;6;5;9;5;5;6;5;5;5;5;5;3000;9;9;5;6;5;480;5;6;9;9;3000;5;5;5;6;9;5;5;5;6;450;450;480;480;5;6;5;9;5;5;6;5;5;5,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W3,stop,15,16,1685,1640,0;1;2;3;5;7;9;10;11;42;43;44;46;47;48;49;50;52;53;54;55;57;58;59;60;61;62;63;64;12,8;8;4;5;4;420;4;5;4;8;4;8;3000;8;4;4;8;4;4;2;5;4;4;4;420;420;420;390;4;5;8;4;8;4;4;5;4;8;3000;4;4;8;4;4;8;4;4;2;5;4;4;4;420;420;420;390;4;5;8;4;8;4;4;5;4,9;9;5;6;5;480;5;6;5;9;5;9;3000;9;5;5;9;5;5;3;6;5;5;5;480;480;480;450;5;6;9;5;9;5;5;6;5;9;3000;5;5;9;5;5;9;5;5;3;6;5;5;5;480;480;480;450;5;6;9;5;9;5;5;6;5,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W3,stop,16,15,1641,1686,13;14;15;16;18;19;20;21;22;24;25;26;27;29;30;31;32;33;34;35;36;37;38,8;8;4;5;4;420;4;5;4;8;4;8;3000;8;4;4;8;4;4;2;5;4;4;4;420;420;420;390;4;5;8;4;8;4;4;5;4;8;3000;4;4;8;4;4;8;4;4;2;5;4;4;4;420;420;420;390;4;5;8;4;8;4;4;5;4,9;9;5;6;5;480;5;6;5;9;5;9;3000;9;5;5;9;5;5;3;6;5;5;5;480;480;480;450;5;6;9;5;9;5;5;6;5;9;3000;5;5;9;5;5;9;5;5;3;6;5;5;5;480;480;480;450;5;6;9;5;9;5;5;6;5,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W3,over,32,16,1685,1640,11;9;8;6;4;1;0;12,8;8;4;5;4;420;4;5;4;8;4;8;3000;8;4;4;8;4;4;2;5;4;4;4;420;420;420;390;4;5;8;4;8;4;4;5;4;8;3000;4;4;8;4;4;8;4;4;2;5;4;4;4;420;420;420;390;4;5;8;4;8;4;4;5;4,9;9;5;6;5;480;5;6;5;9;5;9;3000;9;5;5;9;5;5;3;6;5;5;5;480;480;480;450;5;6;9;5;9;5;5;6;5;9;3000;5;5;9;5;5;9;5;5;3;6;5;5;5;480;480;480;450;5;6;9;5;9;5;5;6;5,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W3,over,16,32,1641,1686,13;14;15;17;23;28;30;36;37;38,8;8;4;5;4;420;4;5;4;8;4;8;3000;8;4;4;8;4;4;2;5;4;4;4;420;420;420;390;4;5;8;4;8;4;4;5;4;8;3000;4;4;8;4;4;8;4;4;2;5;4;4;4;420;420;420;390;4;5;8;4;8;4;4;5;4,9;9;5;6;5;480;5;6;5;9;5;9;3000;9;5;5;9;5;5;3;6;5;5;5;480;480;480;450;5;6;9;5;9;5;5;6;5;9;3000;5;5;9;5;5;9;5;5;3;6;5;5;5;480;480;480;450;5;6;9;5;9;5;5;6;5,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W2,stop,18,19,1630,1576,17;13;12;10;8;7;5;1;0;14;57;53;52;55;54;56;50;49;48;43;45;46;44;42;40;3;18,8;4;6;6;4;8;4;4;420;4;5;4;8;4;6;6;4;8;3000;8;4;4;4;4;4;4;5;4;420;420;390;4;4;4;4;4;5;4;8;3000;4;4;4;4;4;4;5;4;420;420;390;4;4;4;4;4;5;2,9;5;7;7;5;9;5;5;480;5;6;5;9;5;7;7;5;9;3000;9;5;5;5;5;5;5;6;5;480;480;450;5;5;5;5;5;6;5;9;3000;5;5;5;5;5;5;6;5;480;480;450;5;5;5;5;5;6;3,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W2,stop,19,18,1577,1631,19;4;20;22;23;24;25;26;28;29;30;32;33;34;35;36;37;16;38;39,8;4;6;6;4;8;4;4;420;4;5;4;8;4;6;6;4;8;3000;8;4;4;4;4;4;4;5;4;420;420;390;4;4;4;4;4;5;4;8;3000;4;4;4;4;4;4;5;4;420;420;390;4;4;4;4;4;5;2,9;5;7;7;5;9;5;5;480;5;6;5;9;5;7;7;5;9;3000;9;5;5;5;5;5;5;6;5;480;480;450;5;5;5;5;5;6;5;9;3000;5;5;5;5;5;5;6;5;480;480;450;5;5;5;5;5;6;3,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W2,over,34,19,1630,1576,17;13;12;11;9;6;5;1;0;18,8;4;6;6;4;8;4;4;420;4;5;4;8;4;6;6;4;8;3000;8;4;4;4;4;4;4;5;4;420;420;390;4;4;4;4;4;5;4;8;3000;4;4;4;4;4;4;5;4;420;420;390;4;4;4;4;4;5;2,9;5;7;7;5;9;5;5;480;5;6;5;9;5;7;7;5;9;3000;9;5;5;5;5;5;5;6;5;480;480;450;5;5;5;5;5;6;5;9;3000;5;5;5;5;5;5;6;5;480;480;450;5;5;5;5;5;6;3,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W2,over,19,34,1577,1631,19;4;20;21;27;31;37;16;38;39,8;4;6;6;4;8;4;4;420;4;5;4;8;4;6;6;4;8;3000;8;4;4;4;4;4;4;5;4;420;420;390;4;4;4;4;4;5;4;8;3000;4;4;4;4;4;4;5;4;420;420;390;4;4;4;4;4;5;2,9;5;7;7;5;9;5;5;480;5;6;5;9;5;7;7;5;9;3000;9;5;5;5;5;5;5;6;5;480;480;450;5;5;5;5;5;6;5;9;3000;5;5;5;5;5;5;6;5;480;480;450;5;5;5;5;5;6;3,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W1,stop,21,22,1564,1500,22;23;27;29;31;20;8;6;28;32;33;19;11;10;9;34;18;12;35;36;17;14;13;37;16;15;4;5;0;38,8;6;6;4;4;4;4;4;5;4;2;4;5;8;4;5;390;390;420;420;420;4;8;4;6;6;4;4;6;4;4;5;4;4;5;9;4;5;3000;8;8;4;5;4;390;4;5;8;8;3000;4;4;4;5;4;4;4;5;8;4;5;390;390;420;420;420;4;4;6;4;4;5;4;4;5;9;4;5,9;7;7;5;5;5;5;5;6;5;3;5;6;9;5;6;450;450;480;480;480;5;9;5;7;7;5;5;7;5;5;6;5;5;6;10;5;6;3000;9;9;5;6;5;450;5;6;9;9;3000;5;5;5;6;5;5;5;6;9;5;6;450;450;480;480;480;5;5;7;5;5;6;5;5;6;10;5;6,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W1,stop,22,21,1501,1565,39;3;40;42;44;46;47;26;48;2;50;51;53;65;71;69;54;55;56;64;73;72;68;57;63;74;58;59;60;61;62;76;77;75;67;25;49,8;6;6;4;4;4;4;4;5;4;2;4;5;8;4;5;390;390;420;420;420;4;8;4;6;6;4;4;6;4;4;5;4;4;5;9;4;5;3000;8;8;4;5;4;390;4;5;8;8;3000;4;4;4;5;4;4;4;5;8;4;5;390;390;420;420;420;4;4;6;4;4;5;4;4;5;9;4;5,9;7;7;5;5;5;5;5;6;5;3;5;6;9;5;6;450;450;480;480;480;5;9;5;7;7;5;5;7;5;5;6;5;5;6;10;5;6;3000;9;9;5;6;5;450;5;6;9;9;3000;5;5;5;6;5;5;5;6;9;5;6;450;450;480;480;480;5;5;7;5;5;6;5;5;6;10;5;6,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W1,over,36,22,1564,1500,22;23;27;29;30;21;7;6;4;5;0;38,8;6;6;4;4;4;4;4;5;4;2;4;5;8;4;5;390;390;420;420;420;4;8;4;6;6;4;4;6;4;4;5;4;4;5;9;4;5;3000;8;8;4;5;4;390;4;5;8;8;3000;4;4;4;5;4;4;4;5;8;4;5;390;390;420;420;420;4;4;6;4;4;5;4;4;5;9;4;5,9;7;7;5;5;5;5;5;6;5;3;5;6;9;5;6;450;450;480;480;480;5;9;5;7;7;5;5;7;5;5;6;5;5;6;10;5;6;3000;9;9;5;6;5;450;5;6;9;9;3000;5;5;5;6;5;5;5;6;9;5;6;450;450;480;480;480;5;5;7;5;5;6;5;5;6;10;5;6,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
W1,over,22,36,1501,1565,39;3;40;41;43;45;47;26;48;49,8;6;6;4;4;4;4;4;5;4;2;4;5;8;4;5;390;390;420;420;420;4;8;4;6;6;4;4;6;4;4;5;4;4;5;9;4;5;3000;8;8;4;5;4;390;4;5;8;8;3000;4;4;4;5;4;4;4;5;8;4;5;390;390;420;420;420;4;4;6;4;4;5;4;4;5;9;4;5,9;7;7;5;5;5;5;5;6;5;3;5;6;9;5;6;450;450;480;480;480;5;9;5;7;7;5;5;7;5;5;6;5;5;6;10;5;6;3000;9;9;5;6;5;450;5;6;9;9;3000;5;5;5;6;5;5;5;6;9;5;6;450;450;480;480;480;5;5;7;5;5;6;5;5;6;10;5;6,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
