name,link_id,from_node_id,to_node_id,direction,length,lanes,free_speed,capacity,link_type,same_link_id,oppo_link_id,local_y,display_sequence,minTT,maxTT,headway
,52,9,8,1,6,1,60,1,0,73,8,1,,4,5,3
W5,53,10,9,1,2.29,4,60,1,11,74,9,1,,5,6,3
,54,11,10,1,6,1,60,1,0,75,10,1,,5,6,3
,55,12,11,1,6,1,60,1,0,76,11,1,,4,5,3
W4,56,13,12,1,3.33,4,60,1,11,77,12,1,,8,9,3
,57,14,13,1,3.75,1,60,1,0,78,13,1,,5,6,3
,58,15,14,1,3.75,1,60,1,0,79,14,1,,2,3,3
W3,59,16,15,1,1.48,4,60,1,11,80,15,1,,8,9,3
,60,17,16,1,3.75,1,60,1,0,81,16,1,,5,6,3
,61,18,17,1,3.75,1,60,1,0,82,17,1,,2,3,3
W2,62,19,18,1,2.54,4,60,1,11,83,18,1,,8,9,3
,63,20,19,1,4.5,1,60,1,0,84,19,1,,5,6,3
,64,21,20,1,4.5,1,60,1,0,85,20,1,,3,4,3
W1,65,22,21,1,1.4,4,60,1,11,86,21,1,,8,9,3
,66,23,1,1,6,1,60,1,0,45,22,1,,5,6,3
,67,24,23,1,6,1,60,1,0,46,23,1,,4,5,3
W7,68,4,24,1,1.76,1,60,1,11,47,24,1,,1,1,3
,69,25,4,1,6,1,60,1,0,48,25,1,,4,5,3
,70,26,25,1,6,1,60,1,0,49,26,1,,4,5,3
W6,71,7,26,1,1.4,1,60,1,11,50,27,1,,1,1,3
,72,27,7,1,6,1,60,1,0,51,28,1,,4,5,3
,73,28,27,1,6,1,60,1,0,52,29,1,,4,5,3
W5,74,10,28,1,2.29,1,60,1,11,53,30,1,,1,1,3
,75,29,10,1,6,1,60,1,0,54,31,1,,4,5,3
,76,30,29,1,6,1,60,1,0,55,32,1,,4,5,3
W4,77,13,30,1,3.33,1,60,1,11,56,33,1,,1,1,3
,78,31,13,1,3.75,1,60,1,0,57,34,1,,2,3,3
,79,32,31,1,3.75,1,60,1,0,58,35,1,,2,3,3
W3,80,16,32,1,1.48,1,60,1,11,59,36,1,,1,1,3
,81,33,16,1,3.75,1,60,1,0,60,37,1,,2,3,3
,82,34,33,1,3.75,1,60,1,0,61,38,1,,2,3,3
W2,83,19,34,1,2.54,1,60,1,11,62,39,1,,1,1,3
,84,35,19,1,4.5,1,60,1,0,63,40,1,,3,4,3
,85,36,35,1,4.5,1,60,1,0,64,41,1,,3,4,3
W1,86,22,36,1,1.4,1,60,1,11,65,42,1,,1,1,3
,87,22,0,1,1000,1,60,1,12,1000,43,1,,1000,1000,3
